time,open,high,low,close,vwap,volume,count
2025-10-02 00:00:00,4.1266,4.1413,4.1266,4.1411,4.1348,3304.08834659,58
2025-10-02 00:15:00,4.1416,4.1416,4.123,4.123,4.1323,1359.29411939,25
2025-10-02 00:30:00,4.1196,4.1261,4.109,4.1091,4.1196,2919.82929878,56
2025-10-02 00:45:00,4.109,4.1131,4.1062,4.1062,4.109,1392.74164541,20
2025-10-02 01:00:00,4.105,4.1159,4.1031,4.1159,4.1047,694.67250703,11
2025-10-02 01:15:00,4.1122,4.12,4.1089,4.1165,4.1174,699.09836502,13
2025-10-02 01:30:00,4.1157,4.1344,4.1154,4.1344,4.1246,576.13719626,17
2025-10-02 01:45:00,4.1373,4.16,4.1369,4.16,4.148,6296.49498811,84
2025-10-02 02:00:00,4.1588,4.161,4.1457,4.1465,4.1529,1632.04578986,28
2025-10-02 02:15:00,4.1501,4.1603,4.1473,4.1603,4.1535,376.68841913,7
2025-10-02 02:30:00,4.1578,4.1801,4.1578,4.1797,4.1699,1691.21472591,59
2025-10-02 02:45:00,4.1809,4.1858,4.1744,4.1807,4.1809,1255.94260459,27
2025-10-02 03:00:00,4.1799,4.1835,4.1754,4.1822,4.1804,528.99849415,22
2025-10-02 03:15:00,4.179,4.1804,4.1755,4.1772,4.1768,428.010637,10
2025-10-02 03:30:00,4.1808,4.184,4.1777,4.1814,4.1805,625.53734944,22
2025-10-02 03:45:00,4.1792,4.181,4.1742,4.1753,4.1755,285.76195181,9
2025-10-02 04:00:00,4.178,4.182,4.178,4.1803,4.1806,5138.2762605,18
2025-10-02 04:15:00,4.1844,4.1844,4.1713,4.1734,4.1756,98.04490853,12
2025-10-02 04:30:00,4.1696,4.1969,4.1596,4.1721,4.1756,94068.64752713,179
2025-10-02 04:45:00,4.173,4.197,4.173,4.197,4.189,3748.00205359,30
2025-10-02 05:00:00,4.1979,4.1988,4.1893,4.1895,4.1964,3528.55246788,18
2025-10-02 05:15:00,4.1908,4.2106,4.185,4.2106,4.205,2514.96962067,48
2025-10-02 05:30:00,4.2109,4.2109,4.1977,4.2098,4.2082,1147.58808042,29
2025-10-02 05:45:00,4.2094,4.211,4.2026,4.204,4.2078,1012.48487202,16
2025-10-02 06:00:00,4.2044,4.211,4.2016,4.2089,4.207,4458.02486964,29
2025-10-02 06:15:00,4.212,4.238,4.212,4.238,4.2274,2731.21046541,53
2025-10-02 06:30:00,4.2356,4.2498,4.2261,4.2358,4.2399,16323.96546675,73
2025-10-02 06:45:00,4.2359,4.2359,4.2161,4.2254,4.2319,1564.44524229,26
2025-10-02 07:00:00,4.2268,4.2344,4.2268,4.2292,4.2293,1444.07949744,35
2025-10-02 07:15:00,4.2277,4.2277,4.2133,4.2135,4.2148,1537.4489907,17
2025-10-02 07:30:00,4.21,4.2135,4.2022,4.2128,4.2042,271.53185777,7
2025-10-02 07:45:00,4.2113,4.2113,4.1972,4.1972,4.2036,1812.39790117,19
2025-10-02 08:00:00,4.1973,4.2051,4.1896,4.1903,4.1922,1082.34596916,21
2025-10-02 08:15:00,4.19,4.199,4.1852,4.199,4.1915,1064.61918684,14
2025-10-02 08:30:00,4.1983,4.2007,4.1972,4.1973,4.1998,304.58433021,14
2025-10-02 08:45:00,4.1985,4.2012,4.1942,4.1969,4.1988,115.15489695,8
2025-10-02 09:00:00,4.1963,4.1963,4.1866,4.1905,4.1878,1950.98988728,17
2025-10-02 09:15:00,4.1932,4.2058,4.1932,4.2054,4.2035,1579.85035014,20
2025-10-02 09:30:00,4.2063,4.2104,4.2063,4.2069,4.2068,144.15174857,6
2025-10-02 09:45:00,4.2112,4.2137,4.2075,4.2105,4.2127,208.58466612,12
2025-10-02 10:00:00,4.2105,4.2189,4.2099,4.2135,4.2104,1564.40729988,20
2025-10-02 10:15:00,4.2218,4.2218,4.2124,4.213,4.2155,516.65728341,14
2025-10-02 10:30:00,4.2114,4.2417,4.21,4.2417,4.2335,4219.46472479,39
2025-10-02 10:45:00,4.2417,4.2476,4.2347,4.2392,4.2408,6528.71344401,33
2025-10-02 11:00:00,4.2422,4.2495,4.2371,4.2495,4.2383,754.5637484,19
2025-10-02 11:15:00,4.2488,4.2582,4.2484,4.2495,4.2507,29191.01828823,81
2025-10-02 11:30:00,4.245,4.27,4.245,4.2629,4.2657,5161.77304188,51
2025-10-02 11:45:00,4.2634,4.2699,4.249,4.2548,4.2645,13263.55858486,32
