time,open,high,low,close,vwap,volume,count
2025-06-11 12:00:00,164.53,168.30,163.84,167.28,166.68,60532.03752282,4737
2025-06-11 16:00:00,167.28,167.38,162.46,162.79,164.63,50058.60001386,3918
2025-06-11 20:00:00,162.61,163.92,159.40,160.99,161.33,29237.61210836,3036
2025-06-12 00:00:00,160.98,161.32,159.30,159.89,160.06,15020.34717955,2116
2025-06-12 04:00:00,159.87,160.56,158.41,158.85,159.49,11166.33263343,1926
2025-06-12 08:00:00,158.85,159.90,157.42,157.72,158.59,14616.36514986,1953
2025-06-12 12:00:00,157.81,160.61,156.60,157.05,159.17,54882.70516604,3841
2025-06-12 16:00:00,157.03,160.50,154.55,154.87,157.82,53997.96111628,3672
2025-06-12 20:00:00,154.81,155.40,152.11,152.46,153.25,47026.85311764,3712
2025-06-13 00:00:00,152.34,152.59,141.00,144.88,145.80,107720.06477031,8419
2025-06-13 04:00:00,144.88,145.44,142.79,145.08,144.25,24349.34869917,3914
2025-06-13 08:00:00,145.09,146.69,143.85,145.53,145.41,23985.86761791,2186
2025-06-13 12:00:00,145.48,147.85,144.08,147.24,146.24,36458.56368029,3060
2025-06-13 16:00:00,147.28,148.60,144.50,145.33,146.64,20047.67541292,2408
2025-06-13 20:00:00,145.23,149.00,144.93,148.66,147.24,17662.43827183,2669
2025-06-14 00:00:00,148.68,148.76,146.53,146.78,147.49,11180.05767677,1567
2025-06-14 04:00:00,146.78,147.19,145.72,146.26,146.33,18681.47525258,1288
2025-06-14 08:00:00,146.25,146.25,145.05,145.92,145.62,5717.39400341,878
2025-06-14 12:00:00,145.88,145.99,143.96,144.56,145.16,8765.67237684,1419
2025-06-14 16:00:00,144.57,145.02,143.02,143.55,143.79,37611.24247957,2431
2025-06-14 20:00:00,143.55,145.07,142.14,144.73,143.93,37924.91811656,2501
2025-06-15 00:00:00,144.73,146.05,144.72,145.86,145.50,4898.06029472,988
2025-06-15 04:00:00,145.85,148.10,145.79,146.03,146.59,19115.18148138,1569
2025-06-15 08:00:00,146.03,146.75,144.34,146.31,145.19,21941.99539410,1399
2025-06-15 12:00:00,146.37,152.91,146.18,150.73,148.71,63417.16668075,4589
2025-06-15 16:00:00,150.78,153.62,150.29,152.22,151.87,19472.19901796,2604
2025-06-15 20:00:00,152.22,152.91,148.28,152.91,150.61,20303.87651650,2057
2025-06-16 00:00:00,152.91,157.32,151.01,155.59,153.97,39144.04728471,3357
2025-06-16 04:00:00,155.57,157.84,155.57,157.34,157.06,16412.15408785,1778
2025-06-16 08:00:00,157.30,157.48,154.90,156.47,156.33,13703.57793007,2378
2025-06-16 12:00:00,156.47,157.75,154.72,156.68,156.53,25162.77771395,2700
2025-06-16 16:00:00,156.68,158.76,156.41,157.88,157.49,34020.68264221,3145
2025-06-16 20:00:00,157.77,157.90,150.42,150.67,153.90,38961.12094587,3364
2025-06-17 00:00:00,150.78,153.98,147.65,153.36,150.99,30011.63604532,2649
2025-06-17 04:00:00,153.41,154.29,152.45,152.63,153.01,23570.76137007,1396
2025-06-17 08:00:00,152.66,152.80,150.21,150.54,151.14,17294.31167345,1847
2025-06-17 12:00:00,150.52,151.38,146.65,147.54,148.94,36419.75441875,3142
2025-06-17 16:00:00,147.54,150.35,145.67,148.75,148.11,51220.97606078,3832
2025-06-17 20:00:00,148.90,149.22,146.41,147.60,148.24,38132.39569995,2235
2025-06-18 00:00:00,147.60,149.06,146.57,148.39,147.57,15045.04797298,1399
2025-06-18 04:00:00,148.39,149.22,147.00,148.01,148.25,13169.94801988,1315
2025-06-18 08:00:00,148.01,148.53,145.38,146.49,146.52,11782.39719406,1438
2025-06-18 12:00:00,146.49,146.74,143.85,145.81,145.16,15259.99877778,2242
2025-06-18 16:00:00,145.81,146.49,143.69,144.81,145.20,30809.33879207,2470
2025-06-18 20:00:00,144.87,147.87,144.20,146.42,146.36,20119.94290736,1646
2025-06-19 00:00:00,146.49,147.95,145.10,146.62,146.41,13113.20572728,1481
2025-06-19 04:00:00,146.64,147.07,145.06,145.13,145.78,13931.34367449,1204
2025-06-19 08:00:00,145.12,146.46,144.93,145.12,145.79,11075.15916324,1032
2025-06-19 12:00:00,145.12,145.50,143.03,143.18,143.96,23143.79627791,2168
2025-06-19 16:00:00,143.18,145.87,143.18,145.53,144.93,39413.98785868,2254
2025-06-19 20:00:00,145.54,149.99,145.09,147.09,146.77,49001.28895485,2269
2025-06-20 00:00:00,147.09,147.48,145.53,145.53,146.24,11285.74496636,1230
2025-06-20 04:00:00,145.54,147.70,144.39,147.50,145.35,10084.57024793,1325
2025-06-20 08:00:00,147.57,148.74,146.99,148.24,147.82,14547.00394193,1290
2025-06-20 12:00:00,148.24,148.38,142.45,142.83,145.71,47541.90182954,3059
2025-06-20 16:00:00,142.84,142.99,135.65,139.84,138.72,69001.36725011,6371
2025-06-20 20:00:00,139.84,141.64,138.68,140.15,139.92,17760.53348324,1999
2025-06-21 00:00:00,140.15,141.31,139.60,140.81,140.53,13671.33848071,1176
2025-06-21 04:00:00,140.79,140.85,139.88,140.69,140.18,13124.74641347,885
2025-06-21 08:00:00,140.69,142.55,140.39,142.09,141.62,10850.26050307,1159
2025-06-21 12:00:00,142.09,142.39,139.21,140.34,140.49,13553.75777740,1336
2025-06-21 16:00:00,140.34,140.96,137.29,137.30,138.74,20577.98894749,1964
2025-06-21 20:00:00,137.30,138.84,131.00,135.46,134.36,60320.33886458,4775
2025-06-22 00:00:00,135.55,137.51,133.36,135.10,135.33,40511.15428956,2864
2025-06-22 04:00:00,135.13,136.47,134.64,134.88,135.49,9996.12683342,1218
2025-06-22 08:00:00,134.90,135.32,132.07,133.27,133.17,25273.84875371,1732
2025-06-22 12:00:00,133.28,133.83,126.53,128.54,128.77,160973.88965527,6956
2025-06-22 16:00:00,128.57,131.38,128.33,129.07,129.77,34886.41273982,2806
2025-06-22 20:00:00,129.12,132.49,126.07,131.81,129.46,47832.31747528,3680
2025-06-23 00:00:00,131.81,133.44,131.63,132.72,132.73,12815.34812598,1533
2025-06-23 04:00:00,132.72,134.98,132.44,134.50,133.81,16822.33949890,1351
2025-06-23 08:00:00,134.44,134.85,133.34,134.15,133.95,13453.72508441,1126
2025-06-23 12:00:00,134.16,137.39,133.06,133.52,135.07,47253.40182213,3408
2025-06-23 16:00:00,133.49,140.18,130.80,139.86,136.23,92204.11071683,5797
2025-06-23 20:00:00,139.99,146.88,139.43,144.62,143.40,66235.50500890,5000
2025-06-24 00:00:00,144.60,144.88,142.46,143.34,143.56,22780.40803539,1934
2025-06-24 04:00:00,143.33,146.74,142.95,144.20,145.00,41727.95009579,2581
2025-06-24 08:00:00,144.11,145.78,143.12,144.66,144.00,25581.10981510,1616
2025-06-24 12:00:00,144.72,145.73,143.54,144.35,144.57,42803.33583184,2190
2025-06-24 16:00:00,144.37,146.51,142.90,143.91,144.48,55225.29844716,2578
2025-06-24 20:00:00,143.62,145.99,143.36,145.96,144.72,15790.19303865,1571
2025-06-25 00:00:00,145.96,146.95,145.14,145.71,145.88,18941.65139650,1542
2025-06-25 04:00:00,145.72,147.53,145.07,147.08,146.34,8576.59374277,1201
2025-06-25 08:00:00,147.09,147.16,145.15,146.32,146.06,26163.30615420,1556
2025-06-25 12:00:00,146.32,147.92,143.23,143.76,145.75,38281.24964253,2671
2025-06-25 16:00:00,143.76,144.79,142.98,144.76,143.86,17916.94709813,2163
2025-06-25 20:00:00,144.80,145.59,142.35,143.61,143.62,21220.55186803,1874
