time,open,high,low,close,vwap,volume,count
2025-10-07 00:00:00,232.55,232.85,232.24,232.66,232.61,200.96025008,66
2025-10-07 00:05:00,232.65,233.10,232.62,232.92,232.98,63.83639510,37
2025-10-07 00:10:00,232.91,232.91,232.27,232.28,232.68,113.18908071,54
2025-10-07 00:15:00,232.19,232.28,231.84,231.89,231.97,415.17091275,335
2025-10-07 00:20:00,232.18,232.19,231.60,231.75,231.89,1511.12075290,113
2025-10-07 00:25:00,231.87,231.87,231.44,231.47,231.56,967.68945373,67
2025-10-07 00:30:00,231.43,231.85,231.27,231.85,231.43,418.32715952,277
2025-10-07 00:35:00,231.85,231.98,231.83,231.91,231.91,545.05510139,122
2025-10-07 00:40:00,231.98,232.42,231.98,232.41,232.14,104.38613402,237
2025-10-07 00:45:00,232.42,232.42,231.74,232.09,231.95,1345.36806154,78
2025-10-07 00:50:00,232.07,232.40,232.03,232.40,232.26,50.91748343,21
2025-10-07 00:55:00,232.41,232.62,232.41,232.62,232.43,88.40440293,35
2025-10-07 01:00:00,232.63,232.90,232.63,232.89,232.87,362.32385656,64
2025-10-07 01:05:00,232.89,233.17,232.62,233.13,233.01,4294.29636880,103
2025-10-07 01:10:00,233.13,233.22,232.90,232.92,233.14,1292.29125680,71
2025-10-07 01:15:00,232.84,232.84,231.82,231.82,232.29,1692.12502060,298
2025-10-07 01:20:00,231.81,231.81,231.15,231.53,231.30,1766.69131176,98
2025-10-07 01:25:00,231.45,231.71,231.32,231.70,231.49,585.22826175,86
2025-10-07 01:30:00,231.71,231.71,231.51,231.70,231.54,412.34080227,46
2025-10-07 01:35:00,231.71,231.93,231.53,231.91,231.67,280.34147731,44
2025-10-07 01:40:00,231.95,232.77,231.95,232.74,232.65,112.86127538,55
2025-10-07 01:45:00,232.71,232.83,232.25,232.35,232.54,31.35456591,33
2025-10-07 01:50:00,232.33,232.70,232.27,232.70,232.41,204.68766298,44
2025-10-07 01:55:00,232.66,232.85,232.57,232.80,232.78,126.79121444,38
2025-10-07 02:00:00,232.84,232.84,232.58,232.73,232.74,62.18228994,37
2025-10-07 02:05:00,232.76,233.04,232.76,232.98,232.94,259.89799039,55
2025-10-07 02:10:00,233.11,233.11,232.70,232.75,232.80,221.79344370,39
2025-10-07 02:15:00,232.75,233.05,232.74,232.92,232.95,25.23919107,35
2025-10-07 02:20:00,232.99,232.99,232.20,232.96,232.44,57.96113459,39
2025-10-07 02:25:00,232.98,233.45,232.98,233.45,233.37,557.70375831,56
2025-10-07 02:30:00,233.45,233.89,233.45,233.80,233.83,275.67668109,52
2025-10-07 02:35:00,233.79,233.80,233.04,233.04,233.74,1443.31019917,83
2025-10-07 02:40:00,233.11,233.37,233.11,233.37,233.30,181.20567245,27
2025-10-07 02:45:00,233.37,233.71,233.32,233.33,233.41,172.38020678,41
2025-10-07 02:50:00,233.33,233.68,233.33,233.51,233.50,49.67464354,34
2025-10-07 02:55:00,233.48,233.71,233.47,233.58,233.61,280.67233557,39
2025-10-07 03:00:00,233.58,233.82,233.34,233.67,233.50,34.21071633,36
2025-10-07 03:05:00,233.72,233.72,233.38,233.45,233.42,69.02568953,31
2025-10-07 03:10:00,233.51,233.96,233.51,233.96,233.82,34.08889522,35
2025-10-07 03:15:00,233.89,233.89,233.22,233.66,233.48,162.93950307,58
2025-10-07 03:20:00,233.67,233.76,233.60,233.61,233.64,468.12764638,52
2025-10-07 03:25:00,233.60,233.61,233.21,233.23,233.49,116.81319818,35
2025-10-07 03:30:00,233.23,233.40,232.98,233.07,233.01,490.51266282,179
2025-10-07 03:35:00,233.08,233.49,233.07,233.39,233.23,79.17402141,35
2025-10-07 03:40:00,233.44,233.59,233.44,233.59,233.52,40.98857366,41
2025-10-07 03:45:00,233.59,233.78,233.58,233.59,233.72,340.02462694,50
2025-10-07 03:50:00,233.59,233.80,233.50,233.80,233.54,229.47076782,35
2025-10-07 03:55:00,233.82,234.05,233.82,234.05,234.02,252.97817823,33
2025-10-07 04:00:00,234.05,234.07,233.82,234.02,233.90,162.71074466,54
2025-10-07 04:05:00,234.02,234.03,233.62,233.63,233.81,942.09718331,54
2025-10-07 04:10:00,233.64,233.79,233.18,233.25,233.39,71.64850850,55
2025-10-07 04:15:00,233.24,233.43,233.17,233.43,233.23,73.87307134,32
2025-10-07 04:20:00,233.42,233.66,233.18,233.66,233.43,292.37477115,287
2025-10-07 04:25:00,233.70,233.79,233.69,233.79,233.78,1192.52817385,106
2025-10-07 04:30:00,233.79,234.58,233.79,234.58,234.08,419.41071008,88
2025-10-07 04:35:00,234.59,234.89,234.59,234.88,234.74,157.11417172,89
2025-10-07 04:40:00,234.88,234.89,234.42,234.62,234.75,48.93734058,30
2025-10-07 04:45:00,234.64,234.89,234.57,234.89,234.69,143.53153127,28
2025-10-07 04:50:00,234.89,235.14,234.88,235.10,235.07,119.52590795,59
2025-10-07 04:55:00,235.10,235.16,235.09,235.10,235.14,951.36262313,67
2025-10-07 05:00:00,235.10,235.10,234.57,234.57,234.94,282.74261609,48
2025-10-07 05:05:00,234.57,234.89,234.30,234.80,234.41,99.41039905,50
2025-10-07 05:10:00,234.89,235.07,234.70,234.76,234.95,26.63741103,37
2025-10-07 05:15:00,234.75,234.82,234.42,234.44,234.46,330.57644943,37
2025-10-07 05:20:00,234.41,234.93,234.40,234.68,234.74,46.24616180,36
2025-10-07 05:25:00,234.67,234.99,234.62,234.83,234.85,421.04554823,86
2025-10-07 05:30:00,234.87,234.87,234.47,234.63,234.71,515.53949735,60
2025-10-07 05:35:00,234.63,234.80,234.48,234.80,234.61,550.45966489,57
2025-10-07 05:40:00,234.82,235.14,234.82,235.05,235.01,48.77616210,36
2025-10-07 05:45:00,234.85,234.90,234.14,234.16,234.52,260.66989358,74
2025-10-07 05:50:00,234.22,234.23,233.52,233.55,233.60,632.75016690,59
2025-10-07 05:55:00,233.52,233.68,233.50,233.68,233.58,102.94128160,31
2025-10-07 06:00:00,233.68,233.80,233.52,233.72,233.72,294.93737275,42
2025-10-07 06:05:00,233.71,233.71,232.95,233.29,233.13,886.70782895,97
2025-10-07 06:10:00,233.37,233.50,233.20,233.20,233.40,34.91991863,36
2025-10-07 06:15:00,233.07,233.09,232.88,232.89,232.95,213.40528125,59
2025-10-07 06:20:00,232.89,232.98,231.77,231.83,232.30,485.60689950,110
2025-10-07 06:25:00,231.82,231.86,231.59,231.59,231.75,606.69726495,86
2025-10-07 06:30:00,231.63,231.95,231.54,231.95,231.66,154.96067855,28
2025-10-07 06:35:00,231.94,232.01,230.80,230.92,231.22,2330.54703308,178
2025-10-07 06:40:00,231.02,231.02,229.57,230.42,230.21,3489.43887472,342
2025-10-07 06:45:00,230.58,230.71,230.33,230.56,230.54,505.25934459,87
2025-10-07 06:50:00,230.69,230.85,230.52,230.75,230.66,846.09583083,94
2025-10-07 06:55:00,230.73,230.82,230.70,230.70,230.73,94.46805513,60
2025-10-07 07:00:00,230.71,231.00,230.60,230.99,230.84,180.23929128,54
2025-10-07 07:05:00,231.00,231.14,230.79,230.84,230.89,1157.95008385,65
2025-10-07 07:10:00,231.05,231.09,230.51,230.55,230.84,50.70437485,42
2025-10-07 07:15:00,230.46,230.46,229.70,230.20,230.11,1055.42347992,103
2025-10-07 07:20:00,230.24,230.61,230.22,230.40,230.40,115.97705980,62
2025-10-07 07:25:00,230.34,231.00,230.33,231.00,230.39,1116.51648976,47
2025-10-07 07:30:00,231.00,231.01,230.88,231.00,230.99,865.47956045,42
2025-10-07 07:35:00,231.01,231.01,230.70,230.70,230.84,3077.61695587,212
2025-10-07 07:40:00,230.70,231.02,230.70,230.92,230.90,3801.08259735,327
2025-10-07 07:45:00,230.94,230.98,230.76,230.76,230.94,820.11103595,82
2025-10-07 07:50:00,230.77,231.09,230.77,231.08,231.01,329.99166930,34
2025-10-07 07:55:00,231.08,231.16,231.03,231.15,231.12,746.82412505,41
2025-10-07 08:00:00,231.15,231.15,230.56,230.82,230.77,267.27429034,43
2025-10-07 08:05:00,230.73,230.73,229.20,229.72,229.81,2224.04693406,228
2025-10-07 08:10:00,229.68,229.85,229.04,229.24,229.43,307.93261530,98
2025-10-07 08:15:00,229.24,229.58,228.69,228.70,228.96,539.23693254,115
2025-10-07 08:20:00,228.70,228.96,227.79,228.93,228.23,15853.92579649,330
2025-10-07 08:25:00,228.99,229.75,228.99,229.34,229.65,1057.63298139,69
2025-10-07 08:30:00,229.34,229.47,228.87,228.87,229.21,255.88764251,43
2025-10-07 08:35:00,228.83,229.97,228.82,229.97,229.55,551.48760617,41
2025-10-07 08:40:00,229.94,230.18,229.83,230.18,229.99,403.57839746,55
2025-10-07 08:45:00,230.18,230.26,229.64,229.79,229.92,148.90936304,43
2025-10-07 08:50:00,229.83,230.31,229.79,230.31,229.92,682.84135011,44
2025-10-07 08:55:00,230.31,230.31,230.06,230.12,230.12,339.28408245,47
2025-10-07 09:00:00,230.10,230.33,230.01,230.32,230.08,217.61190088,30
2025-10-07 09:05:00,230.32,230.62,230.32,230.62,230.39,353.46579143,43
2025-10-07 09:10:00,230.62,230.72,230.38,230.58,230.63,236.99196388,38
2025-10-07 09:15:00,230.50,230.59,230.35,230.35,230.45,93.53442181,42
2025-10-07 09:20:00,230.23,230.37,229.85,230.15,230.04,187.97780228,39
2025-10-07 09:25:00,230.12,230.27,230.11,230.24,230.16,231.68440601,31
2025-10-07 09:30:00,230.24,230.43,230.01,230.01,230.26,1146.22408712,74
2025-10-07 09:35:00,230.05,230.46,229.99,230.34,230.24,115.43739752,30
2025-10-07 09:40:00,230.32,230.39,230.15,230.23,230.26,16.42767354,22
2025-10-07 09:45:00,230.22,230.35,230.21,230.28,230.24,92.79871391,23
2025-10-07 09:50:00,230.38,230.50,230.37,230.50,230.41,64.80790063,30
2025-10-07 09:55:00,230.50,230.50,230.37,230.49,230.42,58.57332512,26
2025-10-07 10:00:00,230.50,230.50,230.00,230.21,230.32,715.15609625,82
2025-10-07 10:05:00,230.20,230.49,230.01,230.48,230.32,473.17432721,38
2025-10-07 10:10:00,230.45,231.36,230.45,231.36,230.74,1022.56302574,122
2025-10-07 10:15:00,231.37,231.37,231.00,231.35,231.14,466.04922133,69
2025-10-07 10:20:00,231.36,231.75,231.06,231.08,231.42,241.62442944,72
2025-10-07 10:25:00,231.08,231.17,231.04,231.15,231.11,158.28269562,36
2025-10-07 10:30:00,231.15,231.39,231.00,231.39,231.13,106.44901274,32
2025-10-07 10:35:00,231.40,231.40,231.10,231.11,231.19,264.05515581,43
2025-10-07 10:40:00,231.11,231.11,231.00,231.03,231.05,345.72819110,38
2025-10-07 10:45:00,231.03,231.03,230.78,230.99,230.99,1114.53565374,82
