time,open,high,low,close,vwap,volume,count
2025-10-07 00:00:00,2.99065,2.99313,2.98985,2.99043,2.99095,17503.01413848,80
2025-10-07 00:05:00,2.99042,2.99380,2.99041,2.99091,2.99277,72830.45171829,54
2025-10-07 00:10:00,2.99092,2.99104,2.98862,2.99055,2.98898,21672.84217863,69
2025-10-07 00:15:00,2.98903,2.98903,2.98562,2.98563,2.98739,53297.93987092,74
2025-10-07 00:20:00,2.98636,2.99256,2.98263,2.98543,2.98898,547676.05533789,186
2025-10-07 00:25:00,2.98683,2.98739,2.98582,2.98583,2.98660,7553.69300784,42
2025-10-07 00:30:00,2.98709,2.99161,2.98701,2.99161,2.98828,5293.16936299,38
2025-10-07 00:35:00,2.99160,2.99321,2.99019,2.99078,2.99198,25513.68964008,67
2025-10-07 00:40:00,2.99079,2.99522,2.99079,2.99466,2.99449,51993.42255506,74
2025-10-07 00:45:00,2.99467,2.99467,2.99000,2.99167,2.99350,9339.75257593,60
2025-10-07 00:50:00,2.99167,2.99392,2.99094,2.99388,2.99361,13646.71120188,53
2025-10-07 00:55:00,2.99388,2.99500,2.99388,2.99500,2.99475,3159.62035863,55
2025-10-07 01:00:00,2.99500,2.99875,2.99500,2.99634,2.99830,29177.34808438,75
2025-10-07 01:05:00,2.99634,3.00000,2.99600,2.99999,2.99701,27456.21373956,94
2025-10-07 01:10:00,3.00000,3.00177,2.99570,2.99570,2.99953,55358.59677942,99
2025-10-07 01:15:00,2.99569,2.99570,2.98537,2.98537,2.99092,8027.09158604,81
2025-10-07 01:20:00,2.98537,2.98538,2.98063,2.98399,2.98226,18088.21731266,86
2025-10-07 01:25:00,2.98257,2.99027,2.98256,2.99026,2.98617,29942.30245912,79
2025-10-07 01:30:00,2.99077,2.99122,2.98562,2.98724,2.98655,138300.97858099,55
2025-10-07 01:35:00,2.98724,2.99004,2.98724,2.98801,2.98738,22695.39288433,110
2025-10-07 01:40:00,2.98887,2.99245,2.98886,2.99245,2.99127,24838.77376136,63
2025-10-07 01:45:00,2.99250,2.99349,2.98632,2.98653,2.99011,4742.54324795,53
2025-10-07 01:50:00,2.98652,2.98849,2.98651,2.98791,2.98677,2010.35149830,34
2025-10-07 01:55:00,2.98778,2.98951,2.98628,2.98911,2.98889,22844.91708265,58
2025-10-07 02:00:00,2.98994,2.98997,2.98728,2.98977,2.98962,11401.56691825,32
2025-10-07 02:05:00,2.98943,2.99034,2.98793,2.98801,2.98922,8652.15194060,64
2025-10-07 02:10:00,2.98801,2.98913,2.98728,2.98729,2.98793,24987.89921971,37
2025-10-07 02:15:00,2.98729,2.98838,2.98728,2.98728,2.98761,2920.38190814,32
2025-10-07 02:20:00,2.98729,2.98729,2.98000,2.98719,2.98359,25593.57002060,422
2025-10-07 02:25:00,2.98830,2.99501,2.98803,2.99501,2.99417,180257.91341122,98
2025-10-07 02:30:00,2.99501,2.99612,2.99225,2.99225,2.99453,4380.33556268,45
2025-10-07 02:35:00,2.99226,2.99226,2.98495,2.98530,2.98792,5385.89898249,53
2025-10-07 02:40:00,2.98539,2.98712,2.98537,2.98637,2.98640,27464.63128646,45
2025-10-07 02:45:00,2.98637,2.99024,2.98370,2.98388,2.98581,46109.05413799,79
2025-10-07 02:50:00,2.98458,2.98768,2.98430,2.98577,2.98576,7626.53297662,58
2025-10-07 02:55:00,2.98593,2.98736,2.98578,2.98700,2.98662,6823.65727441,46
2025-10-07 03:00:00,2.98684,2.98684,2.98330,2.98641,2.98574,5426.11840477,38
2025-10-07 03:05:00,2.98684,2.98684,2.98465,2.98515,2.98491,18907.16006758,69
2025-10-07 03:10:00,2.98515,2.98781,2.98514,2.98714,2.98720,10302.86178097,38
2025-10-07 03:15:00,2.98713,2.98713,2.98000,2.98153,2.98226,12519.16815333,45
2025-10-07 03:20:00,2.98230,2.98492,2.98230,2.98251,2.98273,14098.26711925,39
2025-10-07 03:25:00,2.98251,2.98402,2.98000,2.98199,2.98159,14089.51597145,62
2025-10-07 03:30:00,2.98199,2.98460,2.98063,2.98212,2.98192,8816.74754507,111
2025-10-07 03:35:00,2.98192,2.98690,2.98192,2.98690,2.98505,24845.48985614,38
2025-10-07 03:40:00,2.98699,2.99000,2.98699,2.98946,2.98952,3048.75873497,38
2025-10-07 03:45:00,2.98945,2.99000,2.98945,2.99000,2.98999,5121.82389886,41
2025-10-07 03:50:00,2.99000,2.99000,2.98690,2.98840,2.98834,1240.65747405,40
2025-10-07 03:55:00,2.98877,2.98928,2.98705,2.98734,2.98852,2844.24712652,38
2025-10-07 04:00:00,2.98734,2.98766,2.98200,2.98395,2.98320,1997.09868406,49
2025-10-07 04:05:00,2.98427,2.98550,2.98200,2.98208,2.98312,8830.69076398,69
2025-10-07 04:10:00,2.98203,2.98349,2.98000,2.98033,2.98129,11640.43373038,50
2025-10-07 04:15:00,2.98001,2.98150,2.97668,2.98002,2.97925,35958.66292541,94
2025-10-07 04:20:00,2.98001,2.98203,2.97790,2.98202,2.97999,17443.46430808,53
2025-10-07 04:25:00,2.98203,2.98550,2.98203,2.98549,2.98467,2215.28984064,34
2025-10-07 04:30:00,2.98550,2.99000,2.98550,2.99000,2.98937,11253.71634361,348
2025-10-07 04:35:00,2.99000,2.99350,2.99000,2.99350,2.99219,11101.78627379,228
2025-10-07 04:40:00,2.99349,2.99411,2.99241,2.99283,2.99289,30996.21125889,59
2025-10-07 04:45:00,2.99359,2.99659,2.99305,2.99634,2.99553,1174.50961926,30
2025-10-07 04:50:00,2.99560,2.99717,2.99487,2.99488,2.99622,3470.18213677,31
2025-10-07 04:55:00,2.99471,2.99564,2.99392,2.99482,2.99467,24687.11427991,53
2025-10-07 05:00:00,2.99399,2.99421,2.98990,2.99148,2.99157,3802.45270911,35
2025-10-07 05:05:00,2.99147,2.99358,2.98901,2.99299,2.99165,25892.77581225,47
2025-10-07 05:10:00,2.99300,2.99481,2.99300,2.99481,2.99478,1553.96790016,33
2025-10-07 05:15:00,2.99481,2.99481,2.99094,2.99098,2.99187,3371.92908517,33
2025-10-07 05:20:00,2.99116,2.99512,2.99100,2.99512,2.99411,8283.89785633,46
2025-10-07 05:25:00,2.99343,2.99750,2.99342,2.99565,2.99501,36592.25648764,43
2025-10-07 05:30:00,2.99619,2.99673,2.99519,2.99673,2.99610,4747.64355886,26
2025-10-07 05:35:00,2.99593,2.99750,2.99583,2.99750,2.99593,4118.71230309,25
2025-10-07 05:40:00,2.99750,3.00360,2.99750,3.00147,3.00202,12474.51909251,61
2025-10-07 05:45:00,3.00136,3.00137,2.99750,2.99750,3.00013,27879.78836188,35
2025-10-07 05:50:00,2.99750,2.99750,2.99000,2.99315,2.99296,6317.81149642,43
